jn	abs	pmid
23. Oncotarget. 2016 Feb 23;7(8):9448-61. doi: 10.18632/oncotarget.7021.	 HBV polymerase overexpression due to large core gene deletion enhances hepatoma cell growth by binding inhibition of microRNA-100.  Huang YH(1)(2), Tseng YH(1)(2), Lin WR(1)(3), Hung G(4), Chen TC(5), Wang TH(5),  Lee WC(6), Yeh CT(1)(2).  Author information:  (1)Liver Research Center, Chang Gung Memorial Hospital, Linkou, Taoyuan, Taiwan. (2)Molecular Medicine Research Center, Chang Gung University, Taoyuan, Taiwan. (3)Department of Hepato-Gastroenterology, Chang Gung Memorial Hospital, Taoyuan,  Taiwan. (4)Department of Molecular Biology, Princeton University, NJ, USA. (5)Department of Pathology, Chang Gung Memorial Hospital, Taoyuan, Taiwan. (6)Division of Liver and Transplantation Surgery, Department of General Surgery,  Chang Gung Memorial Hospital, Taoyuan, Taiwan.  Different types of hepatitis B virus (HBV) core gene deletion mutants were identified in chronic hepatitis B patients. However, their clinical roles in different stages of natural chronic HBV infection remained unclear. To address this issue, HBV core genes were sequenced in three gender- and age-matched patient groups diagnosed as chronic hepatitis, cirrhosis and hepatocellular carcinoma (HCC), respectively. Functional analysis of the identified mutants was  performed. A novel type of large-fragment core gene deletion (LFCD) was identified exclusively in HCC patients and significantly associated with unfavorable postoperative survival. The presence of LFCDs resulted in generation  of precore-polymerase fusion protein or brought the polymerase reading frame under direct control of HBV precore/core promoter, leading to its over-expression. Enhanced cell proliferation and increased tumorigenicity in nude mice were found in hepatoma cells expressing LFCDs. Because of the epsilon-binding ability of HBV polymerase, we hypothesized that the over-expressed polymerase carrying aberrant amino-terminal sequence could bind to cellular microRNAs. Screening of a panel of microRNAs revealed physical association of a precore-polymerase fusion protein with microRNA-100. A binding inhibition effect on microRNA-100 by the precore-polymerase fusion protein with up-regulation of its target, polo-like kinase 1 (PLK1), was discovered. The binding inhibition and growth promoting effects could be reversed by overexpressing microRNA-100. Together, HCC patients carrying hepatitis B large-fragment core gene deletion mutants had an unfavorable postoperative prognosis. The growth promoting effect was partly due to polymerase overexpression, leading to binding inhibition of microRNA-100 and up-regulation of PLK1.  DOI: 10.18632/oncotarget.7021  PMCID: PMC4891051	26824500
24. Int J Oncol. 2016 Mar;48(3):1165-74. doi: 10.3892/ijo.2016.3347. Epub 2016 Jan	19.  Galectin-9: An anticancer molecule for gallbladder carcinoma.  Tadokoro T(1), Morishita A(1), Fujihara S(1), Iwama H(2), Niki T(3), Fujita K(1), Akashi E(1), Mimura S(1), Oura K(1), Sakamoto T(1), Nomura T(1), Tani J(1), Miyoshi H(1), Yoneyama H(1), Himoto T(1), Hirashima M(3), Masaki T(1).  Author information:  (1)Department of Gastroenterology and Neurology, Kagawa University, Kagawa, Japan. (2)Life Science Research Center, Kagawa University, Kagawa, Japan. (3)Department of Immunology and Immunopathology, Kagawa University, Kagawa, Japan.  Gallbladder cancer (GBC) is the most common and aggressive type of biliary tract  cancer. There are various histological types of GBC, and the vast majority of GBC cases are adenocarcinomas. Squamous and adenosquamous carcinomas are rare GBC subtypes that are traditionally considered to be more aggressive and to be associated with a poorer prognosis than adenocarcinoma. Galectin-9 (Gal-9), a tandem-repeat-type galectin, has been reported to induce apoptosis-mediated elimination of various cancers, including hepatocellular carcinoma, cholangiocarcinoma, and hematologic malignancies. Therefore, we investigated the  antitumor effects of Gal-9 on GBC in vitro and in vivo. In our in vitro experiments, Gal-9 suppressed cell proliferation in various GBC cell lines but not in the OCUG-1 cell line, which represents a poorly differentiated type of adenosquamous carcinoma. Gal-9 induced the apoptosis of Gal-9-sensitive GBC cells by increasing the levels of caspase-cleaved keratin 18 and phosphorylated p53. However, Gal-9 did not affect the expression of various cell cycle-related proteins. In addition, Gal-9 suppressed tumor growth by implanted human GBC cells in a xenograft model. Furthermore, Gal-9 induced the phosphorylation of the Ephrin type-B receptor, and the microRNA (miRNA) expression profile was markedly  altered by Gal-9. Based on these results, various miRNAs might contribute to the  suppression of tumor growth. Our data reveal that Gal-9 suppresses the growth of  GBC, possibly by inducing apoptosis and altering miRNA expression. Thus, Gal-9 might serve as a therapeutic agent for the treatment of GBC.  DOI: 10.3892/ijo.2016.3347 	26797414
25. World J Gastroenterol. 2015 Oct 14;21(38):10732-8. doi:	10.3748/wjg.v21.i38.10732.  Molecular mechanism of hepatitis B virus X protein function in hepatocarcinogenesis.  Geng M(1), Xin X(1), Bi LQ(1), Zhou LT(1), Liu XH(1).  Author information:  (1)Ming Geng, Xuan Xin, Li-Quan Bi, Lu-Ting Zhou, Xiao-Hong Liu, Department of Pathology, General Hospital of Jinan Military Command, Jinan 250031, Shandong Province, China.  Many factors are considered to contribute to hepatitis B virus (HBV)-associated hepatocellular carcinoma (HCC), including products of HBV, HBV integration and mutation, and host susceptibility. HBV X protein (HBx) can interfere with several signaling pathways associated with cell proliferation and invasion, and HBx C-terminal truncation has been suggested to impact the development of HCC. This review focuses on the pathological functions of HBx in HBV-induced hepatocarcinogenesis. As a transactivator, HBx can affect regulatory non-coding RNAs (ncRNAs), including microRNAs and long ncRNAs. HBx is also involved in epigenetic modification and DNA repair. HBx interacts with various signal-transduction pathways, such as the p53, Wnt, and nuclear factor-κB pathways. We conclude that HBx hastens the development of hepatoma.  DOI: 10.3748/wjg.v21.i38.10732  PMCID: PMC4600575	26478665
26. Mol Carcinog. 2016 Jun;55(6):1060-72. doi: 10.1002/mc.22350. Epub 2015 Jul 8.	 Polymorphisms in the precursor microRNAs and aflatoxin B1-related hepatocellular  carcinoma.  Long XD(1)(2), Huang XY(1), Yao JG(1), Liao P(3), Tang YJ(4), Ma Y(5), Xia Q(2).  Author information:  (1)Department of Pathology, The Affiliated Hospital of Youjiang Medical College for Nationalities (AHYMCN), Baise, China. (2)Department of Liver Surgery, Ren Ji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China. (3)Department of Medicine, The Affiliated Hospital of Youjiang Medical College for Nationalities (AHYMCN), Baise, China. (4)Department of Surgery, The Affiliated Hospital of Youjiang Medical College for Nationalities (AHYMCN), Baise, China. (5)Department of Pathology, The Affiliated Tumor Hospital, Guangxi Medical University, Nanning, China.  The altered expression of some microRNAs (miRNAs) is observed in hepatocellular carcinoma (HCC); however, the genetic polymorphisms in the precursor miRNAs (pre-miRNAs) in aflatoxin B1 (AFB1)-related HCC have not yet been investigated. A hospital-based case-control study, including 1,706 HCC cases and 2,270 controls without any liver diseases or tumors, was conducted in a high AFB1 exposure area  of China to assess the relationship between 48 polymorphisms in the pre-miRNAs and AFB1-related HCC risk and prognosis. Among 48 polymorphisms, only rs28599926  (in the miRNA 1268a) affected HCC risk. Compared with the homozygote of rs28599926C alleles (rs28599926-CC), the genotypes of rs28599926 T alleles (namely rs28599926-CT or -TT) increased HCC risk (odds ratio [OR]: 1.63 and 5.52, 95% confidence interval [CI]: 1.40-1.90 and 4.27-7.14, respectively). Significant interactive effects between risk genotypes and AFB1 exposure status were also observed in the joint effects analysis. This polymorphism was associated not only with larger tumor size, higher portal vein tumor risk, and tumor dedifferentiation, but also with higher AFB1 adducts levels and increasing the mutation risk of TP53 gene. Furthermore, rs28599926 modified the tumor recurrence-free survival (hazard ratio [HR]: 2.86, 95% CI: 2.36-3.43) and overall survival (HR: 2.12, 95% CI: 1.86-2.41) of cases. Additionally, one target of miR-1268a was show to be the ADAMTS4 mRNA and rs28599926 polymorphism might modify ADAMTS4 expression. These findings indicate that polymorphisms in the pre-miRNAs may be risk and prognostic biomarkers of AFB1-related HCC, and rs28599926 in miR-1268a is such a potential candidate. © 2015 Wiley Periodicals,  Inc.  © 2015 Wiley Periodicals, Inc.  DOI: 10.1002/mc.22350 	26152337
27. Hepatology. 2015 Aug;62(2):466-80. doi: 10.1002/hep.27816. Epub 2015 May 6.	 MicroRNA-494 is a master epigenetic regulator of multiple invasion-suppressor microRNAs by targeting ten eleven translocation 1 in invasive human hepatocellular carcinoma tumors.  Chuang KH(1)(2)(3), Whitney-Miller CL(4), Chu CY(5)(6), Zhou Z(4), Dokus MK(2), Schmit S(2), Barry CT(1)(2).  Author information:  (1)The Wilmot Cancer Institute, University of Rochester Medical Center, Rochester, NY. (2)Department of Surgery Research, University of Rochester Medical Center, Rochester, NY. (3)Department of Radiation Oncology, University of Rochester Medical Center, Rochester, NY. (4)Department of Pathology and Laboratory Medicine, University of Rochester Medical Center, Rochester, NY. (5)Division of Neonatology and Center for Pediatric Biomedical Research, University of Rochester Medical Center, Rochester, NY. (6)Pediatric Molecular and Personalized Medicine Program, University of Rochester Medical Center, Rochester, NY.  Comment in     Hepatobiliary Surg Nutr. 2016 Aug;5(4):372-6.  Vascular invasion provides a direct route for tumor metastasis. The degree to which microRNA (miRNA) expression plays a role in tumor vascular invasion is unclear. Here, we report that miR-494 is up-regulated in human hepatocellular carcinoma (HCC) tumors with vascular invasion and can promote HCC cell invasiveness by gene inactivation of multiple invasion-suppressor miRNAs. Our results show that ten eleven translocation (TET) methylcytosine dioxygenase, predominantly TET1 in HCC cells, is a direct target of miR-494. The reduced 5'-hydroxymethylcytosine levels observed in the proximal cytosine-phosphate-guanine (CpG) regions of multiple invasion-suppressor miRNA genes are strongly associated with their transcriptional repression upon miR-494  overexpression, whereas enforced DNA demethylation can abolish the repression. Furthermore, TET1 knockdown shows a similar effect as miR-494 overexpression. Conversely, miR-494 inhibition or enforced TET1 expression is able to restore invasion-suppressor miRNAs and inhibit miR-494-mediated HCC cell invasion.CONCLUSIONS: miR-494 can trigger gene silencing of multiple invasion-suppressor miRNAs by inhibiting genomic DNA demethylation by direct targeting of TET1, thereby leading to tumor vascular invasion.  © 2015 The Authors. Hepatology published by Wiley Periodicals, Inc., on behalf of American Association for the Study of Liver Diseases.  DOI: 10.1002/hep.27816  PMCID: PMC4682466	25820676
28. Gut. 2016 Jun;65(6):1024-34. doi: 10.1136/gutjnl-2014-308969. Epub 2015 Mar 19.	 Antitumour activity of an inhibitor of miR-34a in liver cancer with β-catenin-mutations.  Gougelet A(1), Sartor C(1), Bachelot L(1), Godard C(1), Marchiol C(2), Renault G(2), Tores F(3), Nitschke P(3), Cavard C(1), Terris B(4), Perret C(1), Colnot S(1).  Author information:  (1)Inserm, U1016, Institut Cochin, Paris, France CNRS, UMR8104, Paris, France Université Paris Descartes, Sorbonne Paris Cité, Paris, France Equipe labellisée  LNCC, Paris, France. (2)Inserm, U1016, Institut Cochin, Paris, France CNRS, UMR8104, Paris, France Université Paris Descartes, Sorbonne Paris Cité, Paris, France Imagerie du petit  animal, Institut Cochin, Paris, France. (3)Plateforme de bioinformatique Paris Descartes, Institut Imagine, Paris, France. (4)Inserm, U1016, Institut Cochin, Paris, France CNRS, UMR8104, Paris, France Université Paris Descartes, Sorbonne Paris Cité, Paris, France Equipe labellisée  LNCC, Paris, France Service d'Anatomie et Cytologie Pathologiques, AP-HP, Hôpital Cochin, Université Paris Descartes, Paris, France.  OBJECTIVE: Hepatocellular carcinoma (HCC) is the most prevalent primary tumour of the liver. About a third of these tumours presents activating mutations of the β-catenin gene. The molecular pathogenesis of HCC has been elucidated, but mortality remains high, and new therapeutic approaches, including treatments based on microRNAs, are required. We aimed to identify candidate microRNAs, regulated by β-catenin, potentially involved in liver tumorigenesis. DESIGN: We used a mouse model, in which β-catenin signalling was overactivated exclusively in the liver by the tamoxifen-inducible and Cre-Lox-mediated inactivation of the Apc gene. This model develops tumours with properties similar to human HCC. RESULTS: We found that miR-34a was regulated by β-catenin, and significantly induced by the overactivation of β-catenin signalling in mouse tumours and in patients with HCC. An inhibitor of miR-34a (locked nucleic acid, LNA-34a) exerted antiproliferative activity in primary cultures of hepatocyte. This inhibition of  proliferation was associated with a decrease in cyclin D1 levels, orchestrated principally by HNF-4α, a target of miR-34a considered to act as a tumour suppressor in the liver. In vivo, LNA-34a approximately halved progression rates  for tumours displaying β-catenin activation together with an activation of caspases 2 and 3. CONCLUSIONS: This work demonstrates the key oncogenic role of miR-34a in liver tumours with β-catenin gene mutations. We suggest that patients diagnosed with HCC with β-catenin mutations could be treated with an inhibitor of miR-34a. The potential value of this strategy lies in the modulation of the tumour suppressor  HNF-4α, which targets cyclin D1, and the induction of a proapoptotic programme.  Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://www.bmj.com/company/products-services/rights-and-licensing/  DOI: 10.1136/gutjnl-2014-308969 	25792709
29. Eur J Cancer. 2014 Oct;50(15):2560-9. doi: 10.1016/j.ejca.2014.07.008. Epub 2014 	Jul 30.  Hepatitis B virus X protein promotes hepatocellular carcinoma transformation through interleukin-6 activation of microRNA-21 expression.  Li CH(1), Xu F(1), Chow S(1), Feng L(1), Yin D(2), Ng TB(1), Chen Y(3).  Author information:  (1)School of Biomedical Sciences, Faculty of Medicine, The Chinese University of  Hong Kong, Hong Kong. (2)Department of Internal Medicine, College of Medicine, East Tennessee State University, Johnson City, TN 37604, USA. (3)School of Biomedical Sciences, Faculty of Medicine, The Chinese University of  Hong Kong, Hong Kong; Shenzhen Research Institute, The Chinese University of Hong Kong, Shenzhen 518057, China. Electronic address: frankch@cuhk.edu.hk.  Hepatocellular carcinoma (HCC) is one of the most common cancers worldwide, and chronic hepatitis B virus (HBV) infection is the major risk factor of HCC. The virus encodes HBV X (HBx) protein that plays a critical role in the development of HCC. Studies have revealed numerous HBx-altered genes and signalling pathways  that heavily contribute to tumourigenesis of non-tumour hepatocytes. However, the role of HBx in regulating other critical gene regulators such as microRNAs is poorly understood, which impedes the exploration of a complete HBx-associated carcinogenic network. Besides, critical microRNAs that drive the transformation of non-tumour hepatocytes are yet to be identified. Here, we overexpressed C-terminal truncated HBx protein in a non-tumour hepatocyte cell line MIHA, and measured a panel of cancer-associated miRNAs. We observed that oncogenic miR-21 was upregulated upon ectopic expression of this viral protein variant. HBx-miR-21 pathway was prevalent in HCC cells as inhibition of HBx in Hep3B and PLC/PRF/5 cells significantly suppressed miR-21 expression. Subsequently, we showed that the upregulation of miR-21 was mediated by HBx-induced interleukin-6 pathway followed by activation of STAT3 transcriptional factor. The high dependency of miR-21 expression to HBx protein suggested a unique viral oncogenic pathway that  could aberrantly affect a network of gene expression. Importantly, miR-21 was essential in the HBx-induced transformation of non-tumour hepatocytes. Inhibition of miR-21 effectively attenuated anchorage-independent colony formation and subcutaneous tumour growth of MIHA cells. Our study suggested that overexpression of miR-21 was critical to promote early carcinogenesis of hepatocytes upon HBV infection.  Copyright © 2014 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.ejca.2014.07.008 	25087183
30. Int J Cancer. 2015 Feb 15;136(4):761-70. doi: 10.1002/ijc.29052. Epub 2014 Jul 7.	 Elevated p53 promotes the processing of miR-18a to decrease estrogen receptor-α in female hepatocellular carcinoma.  Li CL(1), Yeh KH, Liu WH, Chen CL, Chen DS, Chen PJ, Yeh SH.  Author information:  (1)Department of Microbiology, National Taiwan University College of Medicine, Taipei, Taiwan.  The estrogen pathway has long been implicated as a tumor protector in female hepatitis B virus (HBV)-related hepatocellular carcinoma (HCC). Our previous study identified that estrogen receptor alpha (ERα) protein is downregulated in 60% of female HCC cases, via a miR-18a elevation mediated suppression of ERα translation. This study aims to delineate the mechanism underlying the upregulation of miR-18a in female HCC. The analysis of 77 female HCC specimens revealed that miR-18a levels were associated with pre-miR-18a rather than pri-miR-18a levels, suggesting an enhanced processing of pri- to pre-miR-18a. Among a panel of factors involved in microRNA processing, p53 was identified as a novel regulator for miR-18a maturation process. Knockdown of p53 by si-RNA decreased the level of miR-18a, whereas overexpression of either wild-type or mutant p53 increased its level. The association between the elevation of miR-18a  and the accumulation of p53, mainly caused by somatic mutations, was confirmed in the clinical specimens of HBV-related female HCC. By analyzing the association with clinicopathological features, activation of this p53/miR-18a pathway mainly  occurs in younger or noncirrhosis female HCC patients and associated with a trend of worse overall survival. Therefore, this study demonstrated a novel function of elevated/mutant p53 in regulating the amount of ERα protein through its promoting the biogenesis of miR-18a, which could lead to decrease the tumor-protective function of the estrogen pathway in female hepatocarcinogenesis.  © 2014 UICC.  DOI: 10.1002/ijc.29052 	24975878
31. Int J Mol Sci. 2014 Jun 12;15(6):10578-604. doi: 10.3390/ijms150610578.	 Molecular mechanism and treatment of viral hepatitis-related liver fibrosis.  Su TH(1), Kao JH(2), Liu CJ(3).  Author information:  (1)Graduate Institute of Clinical Medicine, National Taiwan University College of Medicine, 1 Chang-Te Street, Taipei 10002, Taiwan. tunghungsu@gmail.com. (2)Graduate Institute of Clinical Medicine, National Taiwan University College of Medicine, 1 Chang-Te Street, Taipei 10002, Taiwan. kaojh@ntu.edu.tw. (3)Graduate Institute of Clinical Medicine, National Taiwan University College of Medicine, 1 Chang-Te Street, Taipei 10002, Taiwan. cjliu@ntu.edu.tw.  Hepatic fibrosis is a wound-healing response to various chronic stimuli, including viral hepatitis B or C infection. Activated myofibroblasts, predominantly derived from the hepatic stellate cells (HSCs), regulate the balance between matrix metalloproteinases and their tissue inhibitors to maintain extracellular matrix homeostasis. Transforming growth factor-β and platelet-derived growth factor are classic profibrogenic signals that activate HSC proliferation. In addition, proinflammatory cytokines and chemokines coordinate macrophages, T cells, NK/NKT cells, and liver sinusoidal endothelial cells in complex fibrogenic and regression processes. In addition, fibrogenesis involves angiogenesis, metabolic reprogramming, autophagy, microRNA, and epigenetic regulations. Hepatic inflammation is the driving force behind liver fibrosis; however, host single nucleotide polymorphisms and viral factors, including the genotype, viral load, viral mutation, and viral proteins, have been associated with fibrosis progression. Eliminating the underlying etiology is the  most crucial antifibrotic therapy. Growing evidence has indicated that persistent viral suppression with antiviral therapy can result in fibrosis regression, reduced liver disease progression, decreased hepatocellular carcinoma, and improved chances of survival. Preclinical studies and clinical trials are currently examining several investigational agents that target key fibrogenic pathways; the results are promising and shed light on this debilitating illness.  DOI: 10.3390/ijms150610578  PMCID: PMC4100170	24927147
32. BMC Genomics. 2014;15 Suppl 1:S13. doi: 10.1186/1471-2164-15-S1-S13. Epub 2014	Jan 24.  Application of microRNA and mRNA expression profiling on prognostic biomarker discovery for hepatocellular carcinoma.  Wei L, Lian B, Zhang Y, Li W, Gu J, He X, Xie L.  BACKGROUND: Hepatocellular carcinoma (HCC) is one of the most highly malignant and lethal cancers of the world. Its pathogenesis has been reported to be multi-factorial, and the molecular carcinogenesis of HCC can not be attributed to just a few individual genes. Based on the microRNA and mRNA expression profiling  of normal liver tissues, pericancerous hepatocellular tissues and hepatocellular  carcinoma tissues, we attempted to find prognosis related gene sets for HCC patients. RESULTS: We identified differentially expressed genes (DEG) from three comparisons: Cancer/Normal, Cancer/Pericancerous and Pericancerous/Normal. GSEA (gene set enrichment analysis) were performed. Based on the enriched gene sets of GO terms, pathways and transcription factor targets, it was found that the genome instability and cell proliferation increased while the metabolism and differentiation decreased in HCC tissues. The expression profile of DEGs in each  enriched gene set was used to correlate to the postoperative survival time of HCC patients. Nine gene sets were found to prognostic correlation. Furthermore, after substituting DEG-targeting-microRNA for DEG members of each gene set, two gene sets with the microRNA expression profiles were obtained that had prognostic potential. CONCLUSIONS: The malignancy of HCC could be represented by gene sets, and pericancerous liver exhibits important characteristics of liver cancer. The expression level of gene sets not only in HCC but also in the pericancerous liver showed potential for prognosis implying an option for HCC prognosis at an early stage. Additionally, the gene-targeting-microRNA expression profiles also showed  prognostic potential, demonstrating that the multi-factorial molecular pathogenesis of HCC is contributed by various genes and microRNAs.  DOI: 10.1186/1471-2164-15-S1-S13  PMCID: PMC4046763	24564407
33. Liver Int. 2014 May;34(5):728-36. doi: 10.1111/liv.12313. Epub 2013 Oct 1.	 Association of a potential functional pre-miR-218 polymorphism and its interaction with hepatitis B virus mutations with hepatocellular carcinoma risk.  Han Y(1), Pu R, Han X, Zhao J, Li W, Yin J, Zhang Y, Shen Q, Xie J, Zhang Q, Jiang S, Li J, Zhang H, Wang H, Cao G.  Author information:  (1)Department of Epidemiology, Second Military Medical University, Shanghai, China.  BACKGROUND & AIMS: MicroRNA-218 (miR-218) can function as a tumour suppressor and inactivate cancer-promoting inflammation. However, role of miR-218 on hepatocellular carcinoma (HCC) remains unclear. To determine the contribution of  miR-218 genetic predisposition and its interaction with hepatitis B virus (HBV) mutations to HCC risk. METHODS: rs11134527 located at putative promoter region of pre-miR-218 was genotyped in 1012 healthy controls, 302 hepatitis B surface antigen (HBsAg) seroclearance subjects and 2011 subjects with chronic HBV infection (1021 with HCC) using quantitative PCR. HBV mutation was determined by sequencing. RESULTS: rs11134527 variant genotypes in dominant model was associated with HCC risk compared with all HCC-free subjects [odds ratio (OR) = 1.22, 95% confidence  interval (CI) = 1.04-1.43], HCC-free HBsAg-positive subjects (OR = 1.23, 95% CI = 1.02-1.50) and HBsAg seroclearance subjects (OR = 1.45, 95% CI = 1.08-1.96), adjusting for age and gender, and also associated with the generation of HBV preS deletion in men (adjusted OR = 1.85, 95% CI = 1.23-2.76). In multivariate regression analyses, rs11134527 in dominant model was associated with HCC risk (OR = 1.50, 95% CI = 1.05-2.13), whereas its multiplicative interaction with viral mutation T1674C/G was inversely associated with HCC risk (OR = 0.44, 95% CI = 0.21-0.96), adjusting for covariates including HBV mutations in the enhancer II-precore region; its interaction with HBV preS1 start codon mutation was associated with HCC risk (OR = 4.44, 95% CI = 1.27-15.55), adjusting for covariates including HBV mutations in the preS region. CONCLUSION: rs11134527 may be a novel genetic risk factor of HCC in HBV-exposed subjects, can facilitate HBV preS deletion generation and predispose the host to  the effect of T1674C/G and preS1 start codon mutation in hepatocarcinogenesis.  © 2013 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.  DOI: 10.1111/liv.12313 	24118778
34. J Biol Chem. 2013 Oct 4;288(40):28893-9. doi: 10.1074/jbc.M113.502682. Epub 2013 	Aug 26.  MicroRNA-433 inhibits liver cancer cell migration by repressing the protein expression and function of cAMP response element-binding protein.  Yang Z(1), Tsuchiya H, Zhang Y, Hartnett ME, Wang L.  Author information:  (1)From the Departments of Medicine and Oncological Sciences, Huntsman Cancer Institute, University of Utah School of Medicine, and.  We show for the first time that potent microRNA-433 (miR-433) inhibition of expression of the cAMP response element-binding protein CREB1 represses hepatocellular carcinoma (HCC) cell migration. We identified a miR-433 seed match region in human and mouse CREB1 3'-UTRs. Overexpression of miR-433 markedly decreased human CREB1 3'-UTR reporter activity, and the inhibitory effect of miR-433 was alleviated upon mutation of its binding site. Ectopic expression of miR-433 reduced CREB1 protein levels in a variety of human and mouse cancer cells, including HeLa, Hepa1, Huh7, and HepG2. Human CREB1 protein levels in highly invasive MHCC97H cells were diminished by expression of miR-433 but were induced by miR-433 antagomir (anti-miR-433). The expression of mouse CREB1 protein negatively correlated with miR-433 levels in nuclear receptor Shp(-/-) liver tissues and liver tumors compared with wild-type mice. miR-433 exhibited a  significant repression of MHCC97H cell migration, which was reversed by anti-miR-433. Overexpressing miR-433 inhibited focus formation dramatically, demonstrating that miR-433 may exert a tumor suppressor function. Knockdown of CREB1 by siRNAs impeded MHCC97H cell migration and invasion and antagonized the effect of anti-miR-433. Interestingly, CREB1 siRNA decreased MHCC97H cell proliferation, which was not influenced by anti-miR-433. Overexpressing CREB1 decreased the inhibitory activity of miR-433. The CpG islands surrounding miR-433 were hypermethylated, and the DNA methylation agent 5'-aza-2'-deoxycytidine, but  not the histone deacetylase inhibitor trichostatin A, drastically stimulated the  expression of miR-433 and miR-127 in HCC cells. The latter is clustered with miR-433. The results reveal a critical role of miR-433 in mediating HCC cell migration via CREB1.  DOI: 10.1074/jbc.M113.502682  PMCID: PMC3789984	23979134
35. Tumour Biol. 2014 Jan;35(1):295-301. doi: 10.1007/s13277-013-1039-x. Epub 2013	Aug 6.  Association between an insertion/deletion polymorphism within 3'UTR of SGSM3 and  risk of hepatocellular carcinoma.  Wang C(1), Zhao H, Zhao X, Wan J, Wang D, Bi W, Jiang X, Gao Y.  Author information:  (1)Department of Forensic Medicine, Medical College of Soochow University, Suzhou, 215123, Jiangsu, People's Republic of China.  Hepatocellular carcinoma (HCC) is the most common primary hepatic malignancy, and multiple host genetic factors are believed to contribute to HCC development. The  small G protein signaling modulator 3 (SGSM3) has been shown to be associated with small G protein coupled receptor signal transduction pathway, suggesting a potential role in HCC susceptibility. We carried out a case-control study in a Chinese population (502 cases and 513 controls) to determine whether the 4-bp insertion/deletion polymorphism (rs56228771) in 3' untranslated region of SGSM3 could affect HCC susceptibility. Logistic regression analysis showed that compared with the del/del genotype, the ins/del genotype of rs56228771 was associated with a significantly decreased risk of HCC [adjusted odd ratio = 0.55, 95% confidence interval (CI) = 0.42-0.73, P = 1.93 × 10(-5)]. The combined ins/del + ins/ins genotypes contributed to a 45% decreased HCC risk (95% CI = 0.42-0.73, P = 1.03 × 10(-5)). This protective trend was more prominent in the HBsAg-negative subgroup. Furthermore, in vivo experiments showed that mRNA levels of SGSM3 from HCC tumor tissues and adjacent non-HCC tissues were correlated with rs56228771 genotypes. Tissue samples with ins/ins genotype have the highest level of SGSM3, which are 2.85-3.00-fold and 1.46-1.57-fold higher than that with ins/del and del/del genotype, respectively. Similar results were also observed with four common hepatoma cell lines in vitro. In addition, compared with HCC tissues, significantly higher SGSM3 expression was observed in  adjacent non-HCC tissues (fold change = 2.48), implying its tumor suppressor roles in HCC. Bioinformatics prediction showed that the insertion allele disrupted a binding site for microRNA (miRNA)-151-5p, which would upregulate SGSM3. Taken together, we provided initial evidence that rs56228771 may contribute to hepatocarcinogenesis, possibly by affecting SGSM3 expression through a miRNA-mediated regulation. The replication of our studies in other populations and functional analysis will further strengthen the underlining mechanism.  DOI: 10.1007/s13277-013-1039-x 	23918301
36. Mol Med Rep. 2013 Feb;7(2):633-41. doi: 10.3892/mmr.2012.1203. Epub 2012 Nov 26.	 MicroRNA expression profiles of LO2 cells expressing the wild-type and mutant HBx gene.  Fu X(1), Tan D, Hou Z, Hu Z, Liu G, Ouyang Y, Liu F.  Author information:  (1)Department of Infectious Diseases, Xiangya Hospital, Central South University, Changsha, Hunan 410008, P.R. China.  Hepatocellular carcinoma (HCC) is one of the most common malignancies worldwide.  Although numerous studies have suggested the potentially oncogenic roles of wild‑type or mutant hepatitis B virus X (HBx) protein in hepatocarcinogenesis, their exact mechanism remains unclear. Increasing evidence suggests that microRNAs (miRNAs) play essential roles in embryogenesis, cell differentiation and carcinogenesis. This study aimed to investigate the effect of HBx on the miRNA expression profile of LO2 cells. We established the LO2 cell line transfected with recombinant plasmid pcDNA3.0/HBx-d382, pcDNA/HBx and plasmid pcDNA3.0 using Lipofectamine™ 2000, which was confirmed by reverse transcription‑polymerase chain reaction (RT-PCR) and western blotting. We then demonstrated the miRNA expression profiles in the stably transfected LO2 cells using a mammalian miRNA microarray containing whole‑human mature and precursor miRNA sequences. The results were confirmed by real-time quantitative PCR (qPCR). RT-PCR and western blot analysis showed that a stably HBx‑transfected LO2 cell line had been successfully established. According to the microarray, compared to  LO2/pcDNA3.0 cells, 6 miRNAs were shown to have higher expression and 5 were shown to have decreased expression in LO2/HBx-d382 cells, while 4 up- and 12 downregulated miRNAs were observed in LO2/HBx cells. There were 8 different expression patterns of miRNAs between LO2/HBx and LO2/HBx-d382 cells. All the chip results were consistent with the real‑time PCR data. Consequently, the HBx gene may influence the miRNA expression profile of LO2 cells. Thus, it may be helpful to further investigate the role of HBx in hepatocarcinogenesis and clarify the underlying molecular mechanisms involved.  DOI: 10.3892/mmr.2012.1203 	23184160
